network_id,noise_type,edge_operation,noise_level,avg_algebraic_connectivity,std_algebraic_connectivity
astro,baseline,none,0.0,0.027215651549247,0.0
astro,perturbed_hub_target,addition,5.0,0.08821592455013151,0.016671580807643607
astro,perturbed_hub_target,addition,10.0,0.11208721616154195,0.017117942649439173
astro,perturbed_hub_target,addition,15.0,0.13194633119998264,0.025500990017648186
astro,perturbed_hub_target,addition,20.0,0.15429744028131187,0.030845086246444827
astro,perturbed_hub_target,addition,30.0,0.18887938374796032,0.04633480867632436
astro,perturbed_hub_target,addition,50.0,0.26912402519432826,0.0572049950374982
astro,perturbed_hub_target,removal,50.0,0.027524405523400863,0.005174491443212875
astro,perturbed_hub_target,removal,60.0,0.026828609063602314,0.0007947608222968284
astro,perturbed_hub_target,removal,70.0,0.027822156807886175,0.005187084419309191
astro,perturbed_hub_target,removal,75.0,0.02702990971734446,0.0005780645631300366
astro,perturbed_hub_target,removal,80.0,0.02744455344427649,0.0034528262049477085
astro,perturbed_hub_target,removal,85.0,0.02718676705090966,0.00011211679540790482
astro,perturbed_hub_target,removal,90.0,0.027205787429199123,6.861125024642723e-06
astro,perturbed_hub_target,removal,95.0,0.027193827587822416,0.00012353409097754748
astro,perturbed_hub_target,removal,98.0,0.027187238876031566,0.00026758346188530816
astro,perturbed_hub_target,addition,100.0,0.3847765650377454,0.08127599604427152
astro,perturbed_hub_target,addition,150.0,0.5479943718501101,0.1141050414943461
astro,perturbed_hub_target,addition,200.0,0.6717201137840095,0.11454527717666946
astro,perturbed_periphery_target,addition,5.0,0.49792480369690845,0.09862023625476321
astro,perturbed_periphery_target,addition,10.0,0.9324896505943489,0.08827331618507271
astro,perturbed_periphery_target,addition,15.0,1.1843118899484457,0.06515571284844442
astro,perturbed_periphery_target,addition,20.0,1.3806086233673542,0.08856018459841515
astro,perturbed_periphery_target,addition,30.0,1.7460268368387666,0.10270843845486832
astro,perturbed_periphery_target,addition,50.0,2.4085974206349863,0.1174164240099119
astro,perturbed_periphery_target,removal,50.0,0.141037059640737,0.030703393881149097
astro,perturbed_periphery_target,removal,60.0,0.15798711601283924,0.04913242029463677
astro,perturbed_periphery_target,removal,70.0,0.10942104930513671,0.03982457509002373
astro,perturbed_periphery_target,removal,75.0,0.11632534464890593,0.05950930201333538
astro,perturbed_periphery_target,removal,80.0,0.0782647029406045,0.06277226300123236
astro,perturbed_periphery_target,removal,85.0,0.056708824050989017,0.04132839804385963
astro,perturbed_periphery_target,removal,90.0,0.0496596496917324,0.014341676792914025
astro,perturbed_periphery_target,removal,95.0,0.04244175366084134,0.01675543475861164
astro,perturbed_periphery_target,removal,98.0,0.030391725708302997,0.008967057597091576
astro,perturbed_periphery_target,addition,100.0,3.9687424084730276,0.17150382700443864
astro,perturbed_periphery_target,addition,150.0,5.3707933562831025,0.23423591173863884
astro,perturbed_periphery_target,addition,200.0,6.719068696631568,0.26662175941914557
astro,perturbed_random_target,added_edges,5.0,0.26049919016206824,0.0608456877598712
astro,perturbed_random_target,added_edges,10.0,0.4591139237686013,0.10462153809679747
astro,perturbed_random_target,added_edges,15.0,0.661810022325369,0.11731310948229379
astro,perturbed_random_target,added_edges,20.0,0.7956453983684091,0.08902895325072196
astro,perturbed_random_target,added_edges,30.0,1.070441080878915,0.2962813518499307
astro,perturbed_random_target,added_edges,50.0,2.7275574894400396,0.615386238262757
astro,perturbed_random_target,removed_edges,50.0,0.023870235058495694,0.007360149019294972
astro,perturbed_random_target,removed_edges,60.0,0.02625192648138508,0.00835251012601966
astro,perturbed_random_target,removed_edges,70.0,0.02696698459044953,0.0070731510335792815
astro,perturbed_random_target,removed_edges,75.0,0.0265520467080012,0.008233501376844799
astro,perturbed_random_target,removed_edges,80.0,0.025971549918862396,0.006795352872361591
astro,perturbed_random_target,removed_edges,85.0,0.026964683268827564,0.0068947188844338675
astro,perturbed_random_target,removed_edges,90.0,0.028374012908843938,0.007780921622422927
astro,perturbed_random_target,removed_edges,95.0,0.02746018987319021,0.00542494001991213
astro,perturbed_random_target,removed_edges,98.0,0.027187457497496306,0.003936236317751562
astro,perturbed_random_target,added_edges,100.0,8.681443961462534,1.1712706865761822
astro,perturbed_random_target,added_edges,150.0,15.936492112316982,1.0780114098792182
astro,perturbed_random_target,added_edges,200.0,23.391806301798297,1.4767998231093808
astro_conf,baseline,none,0.0,0.3297265779587179,0.0
astro_conf,perturbed_hub_target,addition,5.0,0.33576485362984426,0.012047110796331964
astro_conf,perturbed_hub_target,addition,10.0,0.3439664238325728,0.015497288019216501
astro_conf,perturbed_hub_target,addition,15.0,0.3496609843174149,0.017728943351164147
astro_conf,perturbed_hub_target,addition,20.0,0.3566410803434201,0.016598131872430675
astro_conf,perturbed_hub_target,addition,30.0,0.36184478222318234,0.03435782849093911
astro_conf,perturbed_hub_target,removal,50.0,0.31095044806519834,0.02418323853754516
astro_conf,perturbed_hub_target,addition,50.0,0.40338978440378886,0.07494013416258236
astro_conf,perturbed_hub_target,removal,60.0,0.32229073729479596,0.010240021836581964
astro_conf,perturbed_hub_target,removal,70.0,0.32427257752572386,0.010297198234802598
astro_conf,perturbed_hub_target,removal,75.0,0.3242216978945522,0.012423445282323704
astro_conf,perturbed_hub_target,removal,80.0,0.32687404474583137,0.007662737225342727
astro_conf,perturbed_hub_target,removal,85.0,0.3278241820394738,0.005893028685721679
astro_conf,perturbed_hub_target,removal,90.0,0.3283032625211739,0.0037860298778365333
astro_conf,perturbed_hub_target,removal,95.0,0.32897015863721385,0.002832881591196064
astro_conf,perturbed_hub_target,removal,98.0,0.3294713585960604,0.0016703929262041662
astro_conf,perturbed_hub_target,addition,100.0,0.5686473344399999,0.12198281736917217
astro_conf,perturbed_hub_target,addition,150.0,0.6798066562886013,0.13081330484704648
astro_conf,perturbed_hub_target,addition,200.0,0.7889102531067964,0.10357631254415546
astro_conf,perturbed_periphery_target,addition,5.0,0.9113415504529071,0.11675945570181935
astro_conf,perturbed_periphery_target,addition,10.0,1.806450453468172,0.1496437627041139
astro_conf,perturbed_periphery_target,addition,15.0,2.538778367329984,0.3300850802219916
astro_conf,perturbed_periphery_target,addition,20.0,3.1238620469260474,0.39397509054172325
astro_conf,perturbed_periphery_target,addition,30.0,4.403626429894971,0.4328274160847053
astro_conf,perturbed_periphery_target,removal,50.0,0.7591469666821508,0.10483376700758341
astro_conf,perturbed_periphery_target,addition,50.0,6.473531633271692,0.5246159422217949
astro_conf,perturbed_periphery_target,removal,60.0,0.7767387529275215,0.10464903322632499
astro_conf,perturbed_periphery_target,removal,70.0,0.7754539843167132,0.10639993701236454
astro_conf,perturbed_periphery_target,removal,75.0,0.7736198271448012,0.08707622573723892
astro_conf,perturbed_periphery_target,removal,80.0,0.7473785360282136,0.11461005173726445
astro_conf,perturbed_periphery_target,removal,85.0,0.7382553814531455,0.10106808326627802
astro_conf,perturbed_periphery_target,removal,90.0,0.6710043975272417,0.1333392778021776
astro_conf,perturbed_periphery_target,removal,95.0,0.5891671219704199,0.1261985264842351
astro_conf,perturbed_periphery_target,removal,98.0,0.49099081672791994,0.11187571033375825
astro_conf,perturbed_periphery_target,addition,100.0,10.953017302679514,0.7349378574032674
astro_conf,perturbed_periphery_target,addition,150.0,14.551927040832416,0.8220448712908485
astro_conf,perturbed_periphery_target,addition,200.0,17.548820968027965,1.012339178234956
astro_conf,perturbed_random_target,added_edges,5.0,0.4602234576290293,0.10822110523459562
astro_conf,perturbed_random_target,added_edges,10.0,0.6551276249809855,0.11841446307304729
astro_conf,perturbed_random_target,added_edges,15.0,0.7882557426061015,0.10052259167754765
astro_conf,perturbed_random_target,added_edges,20.0,0.884105521274843,0.07746454590112492
astro_conf,perturbed_random_target,added_edges,30.0,1.1467526308960587,0.33613558635553864
astro_conf,perturbed_random_target,added_edges,50.0,2.9002892133999847,0.6286155867106874
astro_conf,perturbed_random_target,removed_edges,50.0,0.20372365380900728,0.03853552167410846
astro_conf,perturbed_random_target,removed_edges,60.0,0.22560034796935347,0.05304565311051786
astro_conf,perturbed_random_target,removed_edges,70.0,0.25708242253547914,0.06006015906953296
astro_conf,perturbed_random_target,removed_edges,75.0,0.2762097154505903,0.04796478741931546
astro_conf,perturbed_random_target,removed_edges,80.0,0.29601739893710166,0.04919556148532952
astro_conf,perturbed_random_target,removed_edges,85.0,0.3075641536160048,0.04318209080831487
astro_conf,perturbed_random_target,removed_edges,90.0,0.32080711768391185,0.03351331324679149
astro_conf,perturbed_random_target,removed_edges,95.0,0.32551100338292016,0.023384313811516996
astro_conf,perturbed_random_target,removed_edges,98.0,0.3306727124144519,0.012495423395886678
astro_conf,perturbed_random_target,added_edges,100.0,8.637474046239111,1.1580180843984413
astro_conf,perturbed_random_target,added_edges,150.0,15.741850785660365,1.239742881256809
astro_conf,perturbed_random_target,added_edges,200.0,23.332863396402352,1.570402399864535
astro_er,baseline,none,0.0,4.61413934148434,0.0
astro_er,perturbed_hub_target,addition,5.0,4.849772673588488,0.3857810908338218
astro_er,perturbed_hub_target,addition,10.0,5.019993039088893,0.5067983345649888
astro_er,perturbed_hub_target,addition,15.0,5.271375028155917,0.565377347121459
astro_er,perturbed_hub_target,addition,20.0,5.4946605879575,0.7072539826800983
astro_er,perturbed_hub_target,addition,30.0,5.8536230449247455,0.7042650598213366
astro_er,perturbed_hub_target,removal,50.0,1.9069035268018795,0.4766273590180721
astro_er,perturbed_hub_target,addition,50.0,6.5066932396227966,0.9205664919301102
astro_er,perturbed_hub_target,removal,60.0,3.0167024924043737,0.48186782770097847
astro_er,perturbed_hub_target,removal,70.0,3.8445768290355584,0.4864951451046958
astro_er,perturbed_hub_target,removal,75.0,4.104452678549827,0.4339095974599385
astro_er,perturbed_hub_target,removal,80.0,4.132052335022047,0.4391998167764629
astro_er,perturbed_hub_target,removal,85.0,4.336115363643464,0.40125259336165797
astro_er,perturbed_hub_target,removal,90.0,4.46207635224847,0.3067820550764333
astro_er,perturbed_hub_target,removal,95.0,4.536350364304377,0.2492765278816987
astro_er,perturbed_hub_target,removal,98.0,4.587251758828544,0.12588057878354209
astro_er,perturbed_hub_target,addition,100.0,9.000546901271811,2.6977910017072158
astro_er,perturbed_hub_target,addition,150.0,10.966050959215558,1.8068270459128883
astro_er,perturbed_hub_target,addition,200.0,13.295448631525998,2.1446816776925055
astro_er,perturbed_periphery_target,addition,5.0,7.062279537643277,0.7921958747394077
astro_er,perturbed_periphery_target,addition,10.0,8.878984676131182,0.7076560993903199
astro_er,perturbed_periphery_target,addition,15.0,10.165125273101875,0.6524566523453261
astro_er,perturbed_periphery_target,addition,20.0,11.362104980562043,0.7334673149193325
astro_er,perturbed_periphery_target,addition,30.0,13.576730304127745,0.6110922533453086
astro_er,perturbed_periphery_target,addition,50.0,17.23809678465045,0.743476899498915
astro_er,perturbed_periphery_target,removal,50.0,0.649608679022267,0.12310196731081034
astro_er,perturbed_periphery_target,removal,60.0,0.806543213328509,0.08234810726137023
astro_er,perturbed_periphery_target,removal,70.0,0.8989642771257358,0.029846882192249603
astro_er,perturbed_periphery_target,removal,75.0,0.9529109086410082,0.1750024729993531
astro_er,perturbed_periphery_target,removal,80.0,1.1911262396157343,0.41374288573876505
astro_er,perturbed_periphery_target,removal,85.0,1.582043819767708,0.6246779348783836
astro_er,perturbed_periphery_target,removal,90.0,2.222420600926318,0.7593846629382991
astro_er,perturbed_periphery_target,removal,95.0,3.3910813948827765,0.7937395884783098
astro_er,perturbed_periphery_target,removal,98.0,4.027397823360159,0.6323300276845577
astro_er,perturbed_periphery_target,addition,100.0,25.058492094989077,0.951360641689423
astro_er,perturbed_periphery_target,addition,150.0,32.29770330176371,0.9768209298908576
astro_er,perturbed_periphery_target,addition,200.0,39.126384823338554,1.0391907794451705
astro_er,perturbed_random_target,added_edges,5.0,5.408310963354268,0.6625252780050597
astro_er,perturbed_random_target,added_edges,10.0,6.101538154962119,0.7599481344352365
astro_er,perturbed_random_target,added_edges,15.0,6.828944446608412,0.8179389723477812
astro_er,perturbed_random_target,added_edges,20.0,7.573730534277067,0.9839126569267668
astro_er,perturbed_random_target,added_edges,30.0,8.721156977842746,1.3074285860063732
astro_er,perturbed_random_target,removed_edges,50.0,0.8797239665380594,0.16721147935295896
astro_er,perturbed_random_target,added_edges,50.0,11.935843423985755,1.1319987407250252
astro_er,perturbed_random_target,removed_edges,60.0,1.4403112921213959,0.4621774573723559
astro_er,perturbed_random_target,removed_edges,70.0,2.1863304827713916,0.6307577445652568
astro_er,perturbed_random_target,removed_edges,75.0,2.5784103859202663,0.6742312586049443
astro_er,perturbed_random_target,removed_edges,80.0,3.2478995295174204,0.6421232787680602
