network_id,network,perturbation_type,modification_type,noise_level,parquet_path
astro,astro,hub_target,removal,0.02,data/perturbed_networks/astro/perturbed_hub_target/ca-AstroPH_gcc_targeted_hub_removal_noise_0p02.parquet
astro,astro,hub_target,addition,0.05,data/perturbed_networks/astro/perturbed_hub_target/ca-AstroPH_gcc_targeted_hub_addition_noise_0p05.parquet
astro,astro,hub_target,removal,0.05,data/perturbed_networks/astro/perturbed_hub_target/ca-AstroPH_gcc_targeted_hub_removal_noise_0p05.parquet
astro,astro,hub_target,addition,0.1,data/perturbed_networks/astro/perturbed_hub_target/ca-AstroPH_gcc_targeted_hub_addition_noise_0p1.parquet
astro,astro,hub_target,removal,0.1,data/perturbed_networks/astro/perturbed_hub_target/ca-AstroPH_gcc_targeted_hub_removal_noise_0p1.parquet
astro,astro,hub_target,addition,0.15,data/perturbed_networks/astro/perturbed_hub_target/ca-AstroPH_gcc_targeted_hub_addition_noise_0p15.parquet
astro,astro,hub_target,removal,0.15,data/perturbed_networks/astro/perturbed_hub_target/ca-AstroPH_gcc_targeted_hub_removal_noise_0p15.parquet
astro,astro,hub_target,addition,0.2,data/perturbed_networks/astro/perturbed_hub_target/ca-AstroPH_gcc_targeted_hub_addition_noise_0p2.parquet
astro,astro,hub_target,removal,0.2,data/perturbed_networks/astro/perturbed_hub_target/ca-AstroPH_gcc_targeted_hub_removal_noise_0p2.parquet
astro,astro,hub_target,removal,0.25,data/perturbed_networks/astro/perturbed_hub_target/ca-AstroPH_gcc_targeted_hub_removal_noise_0p25.parquet
astro,astro,hub_target,addition,0.3,data/perturbed_networks/astro/perturbed_hub_target/ca-AstroPH_gcc_targeted_hub_addition_noise_0p3.parquet
astro,astro,hub_target,removal,0.3,data/perturbed_networks/astro/perturbed_hub_target/ca-AstroPH_gcc_targeted_hub_removal_noise_0p3.parquet
astro,astro,hub_target,removal,0.4,data/perturbed_networks/astro/perturbed_hub_target/ca-AstroPH_gcc_targeted_hub_removal_noise_0p4.parquet
astro,astro,hub_target,addition,0.5,data/perturbed_networks/astro/perturbed_hub_target/ca-AstroPH_gcc_targeted_hub_addition_noise_0p5.parquet
astro,astro,hub_target,removal,0.5,data/perturbed_networks/astro/perturbed_hub_target/ca-AstroPH_gcc_targeted_hub_removal_noise_0p5.parquet
astro,astro,hub_target,addition,1.0,data/perturbed_networks/astro/perturbed_hub_target/ca-AstroPH_gcc_targeted_hub_addition_noise_1p0.parquet
astro,astro,hub_target,addition,1.5,data/perturbed_networks/astro/perturbed_hub_target/ca-AstroPH_gcc_targeted_hub_addition_noise_1p5.parquet
astro,astro,hub_target,addition,2.0,data/perturbed_networks/astro/perturbed_hub_target/ca-AstroPH_gcc_targeted_hub_addition_noise_2p0.parquet
astro,astro,periphery_target,removal,0.02,data/perturbed_networks/astro/perturbed_periphery_target/ca-AstroPH_gcc_targeted_periphery_removal_noise_0p02.parquet
astro,astro,periphery_target,addition,0.05,data/perturbed_networks/astro/perturbed_periphery_target/ca-AstroPH_gcc_targeted_periphery_addition_noise_0p05.parquet
astro,astro,periphery_target,removal,0.05,data/perturbed_networks/astro/perturbed_periphery_target/ca-AstroPH_gcc_targeted_periphery_removal_noise_0p05.parquet
astro,astro,periphery_target,addition,0.1,data/perturbed_networks/astro/perturbed_periphery_target/ca-AstroPH_gcc_targeted_periphery_addition_noise_0p1.parquet
astro,astro,periphery_target,removal,0.1,data/perturbed_networks/astro/perturbed_periphery_target/ca-AstroPH_gcc_targeted_periphery_removal_noise_0p1.parquet
astro,astro,periphery_target,addition,0.15,data/perturbed_networks/astro/perturbed_periphery_target/ca-AstroPH_gcc_targeted_periphery_addition_noise_0p15.parquet
astro,astro,periphery_target,removal,0.15,data/perturbed_networks/astro/perturbed_periphery_target/ca-AstroPH_gcc_targeted_periphery_removal_noise_0p15.parquet
astro,astro,periphery_target,addition,0.2,data/perturbed_networks/astro/perturbed_periphery_target/ca-AstroPH_gcc_targeted_periphery_addition_noise_0p2.parquet
astro,astro,periphery_target,removal,0.2,data/perturbed_networks/astro/perturbed_periphery_target/ca-AstroPH_gcc_targeted_periphery_removal_noise_0p2.parquet
astro,astro,periphery_target,removal,0.25,data/perturbed_networks/astro/perturbed_periphery_target/ca-AstroPH_gcc_targeted_periphery_removal_noise_0p25.parquet
astro,astro,periphery_target,addition,0.3,data/perturbed_networks/astro/perturbed_periphery_target/ca-AstroPH_gcc_targeted_periphery_addition_noise_0p3.parquet
astro,astro,periphery_target,removal,0.3,data/perturbed_networks/astro/perturbed_periphery_target/ca-AstroPH_gcc_targeted_periphery_removal_noise_0p3.parquet
